                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                 1.0922,                 0.7001,                 1.5275,                0.74335,                0.98989,                0.75315,                0.53427,                 1.0675,                0.52792,                 1.4283,              0.0010109,              0.0010109,              0.0010109
                     94,                 1.0963,                0.70302,                 1.5168,                0.74596,                0.99337,                0.75239,                0.53801,                 1.0526,                0.53021,                 1.4344,              0.0010098,              0.0010098,              0.0010098
                     95,                 1.0519,                0.67932,                 1.4896,                0.73783,                0.97616,                 0.7534,                 0.5453,                 1.0539,                0.55702,                 1.4397,              0.0010087,              0.0010087,              0.0010087
                     96,                 1.0571,                0.69389,                 1.4871,                0.75024,                0.96376,                0.76067,                0.53904,                 1.0574,                0.60701,                 1.4327,              0.0010076,              0.0010076,              0.0010076
                     97,                 1.0705,                0.69225,                  1.497,                0.74687,                 0.9937,                0.75685,                0.53996,                 1.0514,                 0.5107,                 1.4272,              0.0010065,              0.0010065,              0.0010065
                     98,                 1.0898,                0.69021,                 1.5159,                0.75254,                0.99345,                0.76452,                0.55173,                 1.0147,                0.52539,                 1.3982,              0.0010054,              0.0010054,              0.0010054
                     99,                 1.0777,                0.67339,                 1.4937,                0.74814,                0.99472,                0.75345,                0.55011,                 1.0174,                0.50969,                  1.393,              0.0010043,              0.0010043,              0.0010043
                    100,                 1.0599,                0.67443,                 1.4833,                0.75204,                0.99445,                0.75895,                0.55427,                 1.0063,                 0.5121,                  1.381,              0.0010032,              0.0010032,              0.0010032
                    101,                 1.0538,                0.68006,                 1.4789,                0.74927,                0.99143,                0.81648,                0.58221,                 1.0539,                0.52965,                 1.4389,              0.0010021,              0.0010021,              0.0010021
                    102,                 1.0698,                0.67009,                 1.4922,                0.74973,                 0.9936,                0.75177,                0.54018,                 1.0321,                 0.5171,                 1.4095,               0.001001,               0.001001,               0.001001
                    103,                 1.0414,                0.65869,                 1.4787,                0.74836,                0.99348,                0.77301,                0.55023,                 1.0731,                0.52423,                 1.4596,             0.00099991,             0.00099991,             0.00099991
                    104,                 1.0581,                0.69392,                 1.4772,                0.74347,                0.99448,                0.75507,                0.53493,                 1.0726,                0.53859,                 1.4263,             0.00099881,             0.00099881,             0.00099881
                    105,                 1.0701,                0.66838,                 1.4917,                0.75339,                0.99526,                0.75947,                0.55915,                 1.0154,                0.48769,                 1.3872,             0.00099771,             0.00099771,             0.00099771
                    106,                 1.0536,                0.65791,                 1.4873,                0.74937,                0.99282,                0.81565,                  0.593,                 1.0969,                0.51893,                 1.4724,             0.00099661,             0.00099661,             0.00099661
                    107,                 1.0914,                0.69098,                 1.5169,                0.75034,                0.99189,                0.75176,                0.54483,                 1.0274,                0.51462,                 1.4133,             0.00099551,             0.00099551,             0.00099551
                    108,                 1.0468,                0.64102,                 1.4645,                0.75097,                0.99196,                0.75277,                0.55001,                 1.0213,                0.50578,                 1.3949,             0.00099441,             0.00099441,             0.00099441
                    109,                 1.0822,                0.67598,                 1.4999,                0.74949,                0.98949,                0.79571,                0.56415,                 1.0795,                0.52821,                   1.45,             0.00099331,             0.00099331,             0.00099331
                    110,                 1.0145,                0.64447,                 1.4511,                0.73054,                0.95738,                 0.7961,                0.57687,                  1.049,                0.62139,                 1.4349,             0.00099221,             0.00099221,             0.00099221
                    111,                 1.0346,                0.65431,                 1.4766,                0.75272,                0.99549,                 0.8171,                0.60591,                0.99745,                0.47752,                 1.3857,             0.00099111,             0.00099111,             0.00099111
                    112,                 1.0121,                  0.646,                 1.4437,                0.75178,                0.99374,                0.75917,                0.54625,                 1.0377,                0.50742,                 1.3966,             0.00099001,             0.00099001,             0.00099001
                    113,                 1.0271,                 0.6402,                 1.4554,                0.73687,                0.98102,                 0.9784,                0.71107,                 1.0643,                0.57706,                 1.4587,             0.00098891,             0.00098891,             0.00098891
                    114,                 1.0535,                0.65172,                 1.4741,                0.75107,                0.99564,                0.76143,                0.56073,                 1.0273,                 0.4887,                 1.3856,             0.00098781,             0.00098781,             0.00098781
                    115,                 1.0371,                0.66085,                 1.4713,                 0.7506,                0.99513,                0.78346,                0.58443,                 0.9788,                0.48748,                 1.3615,             0.00098671,             0.00098671,             0.00098671
                    116,                 1.0041,                0.63987,                 1.4497,                 0.7475,                 0.9902,                0.75416,                0.55721,                 1.0038,                0.50189,                 1.3884,             0.00098561,             0.00098561,             0.00098561
                    117,                 1.0125,                0.64805,                 1.4523,                0.74941,                0.99068,                0.77414,                0.57136,                 1.0178,                0.49072,                 1.3822,             0.00098451,             0.00098451,             0.00098451
                    118,                 1.0305,                0.64809,                 1.4523,                  0.749,                0.97925,                0.76398,                0.54603,                 1.0158,                0.57564,                 1.4013,             0.00098341,             0.00098341,             0.00098341
                    119,                 1.0601,                0.66704,                 1.4817,                0.75141,                0.99549,                0.75438,                0.56377,                0.97101,                0.49939,                  1.349,             0.00098231,             0.00098231,             0.00098231
                    120,                 1.0146,                0.62555,                 1.4489,                0.74388,                 0.9902,                0.79465,                0.57597,                 1.0273,                0.51085,                  1.411,             0.00098121,             0.00098121,             0.00098121
                    121,                0.99677,                0.61098,                 1.4301,                0.75119,                0.99283,                 0.7737,                0.57397,                 1.0087,                0.49144,                 1.3888,             0.00098011,             0.00098011,             0.00098011
                    122,                 1.0354,                0.64481,                 1.4451,                0.75199,                0.99341,                0.98417,                0.74102,                 0.9955,                  0.483,                 1.3661,             0.00097901,             0.00097901,             0.00097901
                    123,                 1.0165,                0.61873,                 1.4521,                0.75215,                0.96602,                0.98421,                0.72385,                 1.0264,                0.55676,                 1.4125,             0.00097791,             0.00097791,             0.00097791
                    124,                 1.0205,                0.62803,                 1.4501,                0.75153,                0.99592,                0.75552,                0.56921,                0.96495,                 0.4789,                 1.3471,             0.00097681,             0.00097681,             0.00097681
                    125,                0.99668,                 0.6178,                 1.4315,                0.74721,                0.99075,                0.75187,                0.54964,                0.99876,                0.49447,                 1.3921,             0.00097571,             0.00097571,             0.00097571
                    126,                 1.0323,                0.63126,                 1.4546,                0.74956,                0.99305,                0.81725,                0.61582,                 0.9606,                0.49367,                 1.3411,             0.00097461,             0.00097461,             0.00097461
                    127,                 1.0159,                0.62247,                 1.4411,                  0.752,                0.99549,                0.78288,                 0.5879,                0.96735,                 0.4864,                 1.3397,             0.00097351,             0.00097351,             0.00097351
                    128,                0.98542,                0.60903,                  1.417,                0.74514,                0.97676,                 0.7631,                0.55073,                 1.0407,                0.60143,                 1.4196,             0.00097241,             0.00097241,             0.00097241
                    129,                 1.0152,                0.63701,                 1.4394,                0.75311,                0.99549,                0.75918,                  0.564,                0.98955,                0.47859,                 1.3756,             0.00097131,             0.00097131,             0.00097131
                    130,                 1.0159,                0.64284,                 1.4432,                0.74535,                0.99398,                0.77495,                0.57772,                0.98435,                 0.4867,                 1.3549,             0.00097021,             0.00097021,             0.00097021
                    131,                 1.0382,                0.62425,                 1.4485,                0.75174,                0.99491,                0.75189,                0.57048,                0.93717,                0.46323,                 1.3172,             0.00096911,             0.00096911,             0.00096911
                    132,                 1.0033,                0.61063,                 1.4211,                0.74404,                0.97687,                0.79162,                0.57217,                0.99059,                0.60578,                 1.3833,             0.00096801,             0.00096801,             0.00096801
                    133,                 1.0266,                0.62018,                 1.4476,                0.74979,                 0.9963,                  0.753,                0.56263,                0.95103,                0.48498,                 1.3348,             0.00096691,             0.00096691,             0.00096691
                    134,                 1.0159,                0.62297,                 1.4316,                0.75012,                 0.9929,                 0.7517,                0.56856,                0.96753,                0.47695,                 1.3459,             0.00096581,             0.00096581,             0.00096581
                    135,                0.99898,                0.60228,                 1.4253,                0.75178,                0.99485,                0.75641,                0.57021,                0.95102,                0.47485,                 1.3239,             0.00096471,             0.00096471,             0.00096471
                    136,                 1.0187,                0.63101,                 1.4467,                0.75123,                0.99232,                0.75257,                0.56784,                0.93569,                 0.4627,                 1.3189,             0.00096361,             0.00096361,             0.00096361
                    137,                  1.005,                0.62836,                 1.4329,                0.74192,                0.98906,                0.75232,                0.54793,                0.98675,                 0.5371,                 1.3626,             0.00096251,             0.00096251,             0.00096251
                    138,                 1.0191,                0.61584,                 1.4385,                0.75215,                0.99538,                0.85896,                0.65517,                0.95981,                0.48046,                 1.3297,             0.00096141,             0.00096141,             0.00096141
                    139,                0.96852,                0.61627,                 1.4062,                0.74628,                0.97428,                0.98079,                0.73507,                0.96974,                0.52344,                 1.3562,             0.00096032,             0.00096032,             0.00096032
                    140,                0.99579,                0.62503,                 1.4146,                0.75256,                0.99553,                 0.9843,                0.74596,                0.98117,                0.47684,                 1.3517,             0.00095922,             0.00095922,             0.00095922
                    141,                0.99794,                0.61835,                 1.4198,                0.75243,                0.99468,                0.85861,                0.65152,                0.92645,                0.47708,                 1.3065,             0.00095812,             0.00095812,             0.00095812
                    142,                0.99248,                0.60763,                 1.4144,                 0.7492,                0.99324,                0.81673,                0.61879,                0.92754,                0.48473,                  1.305,             0.00095702,             0.00095702,             0.00095702
                    143,                0.97179,                0.59305,                 1.4027,                 0.7462,                0.99581,                0.75231,                0.54831,                0.99338,                0.48644,                  1.349,             0.00095592,             0.00095592,             0.00095592
                    144,                 1.0103,                0.61043,                 1.4343,                0.75185,                0.99626,                0.79581,                 0.6139,                0.91841,                0.46424,                 1.3001,             0.00095482,             0.00095482,             0.00095482
                    145,                0.99431,                 0.6119,                  1.423,                 0.7482,                0.99407,                0.75418,                0.56888,                0.95933,                0.47897,                  1.333,             0.00095372,             0.00095372,             0.00095372
                    146,                0.98273,                0.61271,                 1.4047,                0.75184,                 0.9947,                0.75916,                0.57663,                0.94007,                0.46613,                 1.3072,             0.00095262,             0.00095262,             0.00095262
                    147,                0.98346,                0.62869,                 1.4094,                0.75073,                0.98809,                0.78321,                0.59059,                0.94792,                0.47526,                 1.3151,             0.00095152,             0.00095152,             0.00095152
                    148,                0.98403,                0.60655,                 1.4006,                0.74938,                  0.988,                 0.8157,                0.60809,                0.97934,                0.51725,                  1.345,             0.00095042,             0.00095042,             0.00095042
                    149,                   0.99,                0.60732,                 1.4103,                0.75231,                0.99447,                0.79661,                0.61306,                 0.9177,                0.45905,                 1.2932,             0.00094932,             0.00094932,             0.00094932
